Protein.Group	C:\DIA-NN\AOESB2025\THF-2-01.mzML	C:\DIA-NN\AOESB2025\THF-2-02.mzML	C:\DIA-NN\AOESB2025\THF-2-03.mzML	C:\DIA-NN\AOESB2025\THF-2-04.mzML	C:\DIA-NN\AOESB2025\THF-2-05.mzML	C:\DIA-NN\AOESB2025\THF-2-06.mzML	C:\DIA-NN\AOESB2025\THF-2-07.mzML	C:\DIA-NN\AOESB2025\THF-2-08.mzML	C:\DIA-NN\AOESB2025\THF-2-09.mzML	C:\DIA-NN\AOESB2025\THF-2-10.mzML	C:\DIA-NN\AOESB2025\THF-2-11.mzML	C:\DIA-NN\AOESB2025\THF-2-12.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-01.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-02.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-03.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-04.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-05.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-06.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-07.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-08.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-09.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-10.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-11.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-12.mzML
Q0K9E4	26212559.5274055	30049263.4159725	31892837.2229924	43263149.2032626	45577222.3005322	44298956.747088	38693839.2594978	44145271.9267011	41137688.5256415	17367049.5382612	15915411.8177875	17383091.3040812	4	6	7	6	6	5	7	8	8	7	5	6
Q0K9E5	169567803.546377	186359590.551376	192466984.194658	133700438.066509	133388241.383968	125636849.769179	118755696.785869	152021605.324845	136879287.302349	221449649.484582	230550906.523529	255928027.179496	15	12	15	10	10	10	12	12	11	12	15	14
Q0K9E6	19555301.7172314	19706584.0148893	19186701.0428725	24199487.6835196	23661766.1378163	22687710.0622706	21840457.1719442	21961418.5250459	22454436.2105426	16463286.8969208	17305775.2233193	16507875.9243189	4	4	4	4	5	5	5	5	5	5	5	5
Q0K9E7	860189753.481954	854277943.773453	809409328.485982	661135078.315153	623112826.403622	638852760.787748	735132308.860573	690051573.533456	708290850.78406	1432149736.83511	1365372600.28769	1346610100.20846	20	20	20	13	16	15	16	16	18	21	21	21
Q0K9E8	368549598.153234	378282158.997644	445060460.804143	325571546.426914	336295056.447007	284732459.509923	313218501.277369	356212152.225031	327886985.826481	471342525.970985	486441873.468337	514296417.452848	22	21	22	21	20	18	21	21	22	22	21	22
Q0K9E9	25081667.9487733	26874275.9572407	27284037.3462783	23956671.7738615	24221802.9921065	27185963.6868858	30960261.5655225	31671819.1050157	31462233.4190564	37768638.7568607	36271942.259307	37200015.9787539	9	9	9	7	9	9	9	9	10	10	10	10
Q0K9F0	90084156.5558243	95608790.2444583	114905885.346161	104304274.922087	112042316.636503	95553862.0081269	79648122.8277902	95144957.249948	85096694.1304965	97977800.9885763	100089139.324413	105596089.11295	5	8	8	7	7	6	6	7	6	8	8	8
Q0K9F2	9393031.23488665	8091660.85830698	8215194.66732297	4495255.65158686	3624267.91930891	5686909.45006109	5522850.51487419	7087000.97333356	6811530.09617263	9289448.84817036	NA	8895410.40974642	2	2	3	1	1	1	3	3	3	1	0	2
Q0K9F3	20625239.8731101	21436066.9362304	22212243.2070165	14825561.5823139	14845224.8667579	15791559.8652628	24367741.0300091	23598665.7942618	22678305.0398158	5782780.10887338	6002680.16174328	6589230.03663902	6	5	6	5	4	3	6	5	5	2	1	1
Q0K9F4	333225234.664581	298709593.938588	280813346.441813	278875137.620329	232353993.270954	286606438.153763	279357640.381618	247635838.722976	252946308.018309	329248875.216707	325071367.488142	312798005.586746	30	31	31	28	31	28	32	32	32	31	30	31
Q0K9F5	97949836.2184663	96878278.1685186	104671209.933494	83301955.535666	88050547.1201486	78195422.5704365	72848451.3461816	77694176.8851717	71035357.5282167	80634197.0751676	84099043.557098	82254759.331283	11	13	12	7	11	8	11	12	13	13	13	13
Q0K9F6	65154748.8166194	64675401.300662	62778658.8449634	66752993.8374827	69765473.5415216	65843155.0433348	75299909.0998251	66599054.9379876	68757359.5556766	101145888.999444	104664994.258521	100910631.694234	10	9	9	8	10	9	11	10	9	10	11	12
Q0K9F7	12432152.289919	15030727.2726055	17356427.7140194	15895744.6400734	18233624.3132851	14879690.9066373	12766804.304848	15419880.1170687	13990103.1015814	16688666.3169731	17187296.309528	18080921.412232	9	14	14	8	12	8	12	13	12	12	11	13
Q0K9F8	160418428.718045	170128241.762693	181066951.183958	157546009.794429	168291232.694153	153296063.477176	131073514.056354	135349166.781899	134878170.617289	387935306.99191	402147928.93752	414066542.512844	18	21	20	16	17	15	15	17	17	24	25	26
Q0K9F9	130216541.146207	134831405.147412	139306797.337949	95980596.9001776	109344295.569087	96423157.9776517	100815291.05921	104079872.116201	103622580.91753	300168313.855911	299429989.533432	305176604.899105	25	27	27	23	24	21	25	27	24	29	29	29
Q0K9G0	46042201.7670843	44931467.695184	41165694.3248605	36587401.3771164	31620658.538463	37328881.9713815	39091254.1819406	32640336.1689875	34737593.9591498	69415817.6869283	66954325.8653479	63022675.2335991	11	12	12	9	11	9	11	11	10	11	12	11
Q0K9G2	32786751.4116011	46292295.1790054	45144467.5282548	33485026.3815375	43253460.9285374	33688453.52913	41710183.7909556	44765371.3551982	40707690.6781039	51801221.6963187	55575026.4345687	57267692.0760211	4	6	7	3	3	4	5	6	6	5	6	7
Q0K9G4	NA	NA	NA	NA	4101468.7720331	NA	NA	3003569.99998802	2731619.99998911	3859139.99998461	4081326.52294998	4790370.861408	0	0	0	0	2	0	0	1	1	1	2	2
Q0K9G6	3597739.13712758	2703500.7224916	3618291.23877689	8438412.31309449	6271804.11774429	20194056.7079159	4861833.50672093	7026096.30046114	7316731.02428947	3937697.70953475	6023568.1736564	5498523.23098632	2	2	3	2	1	1	2	2	2	3	2	2
Q0K9G7	21296351.2289455	21278297.7908361	21576252.4651671	37802789.4026367	41229231.322618	35922421.003624	72300058.3295013	74778115.1634815	76483567.5823872	14839053.6049637	18734231.2536542	16230883.230362	10	13	12	13	13	12	16	17	17	9	11	9
Q0K9G8	1805408.5315881	1709064.0865405	1718976.21186523	4133277.08011023	6501095.00546439	4156883.7102542	3888170.02810714	4288401.90468272	4173781.28229352	2427775.19778358	1856072.33895871	2543976.84886555	2	3	2	3	2	3	3	3	3	3	3	3
Q0K9G9	8531837.70383849	8859371.78657223	7988885.18258882	23482074.0377719	18593289.9334528	22721907.7041858	18749068.2898855	19054957.2240589	18151088.8882032	8836201.28872411	9468620.64785719	10143393.0766357	4	4	3	4	4	4	4	4	4	4	3	3
Q0K9H1	NA	NA	NA	4057750	3940790	3020850	3141950	3123330	2854650	NA	NA	NA	0	0	0	1	1	1	1	1	1	0	0	0
Q0K9H2	NA	2209030.07913851	3390526.3495657	5233041.31459802	6525664.88087787	5362556.76217674	3949942.79767262	5209251.93777286	4771183.22157643	2692568.11232578	2762301.79536939	2989088.90677953	0	2	1	2	2	2	2	2	2	2	2	2
Q0K9H3	8617415.35926743	8069614.04627513	8196043.29430635	16345200.132921	21068624.2736353	20147379.1980368	26963981.5242924	30834135.8567538	32248860.3632977	NA	NA	NA	5	9	8	8	11	10	12	13	13	0	0	0
